Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_acq_rake_th;[30:22];9'd194;R/W;;;;
;;;;;;reg_acq_sum_th;[21:10];12'd2327;R/W;;;;
;;;;;;reg_acq_sym_num_th;[9:5];5'd10;R/W;;;;
;;;;;;reg_acq_syms;[4:0];5'd16;R/W;;;;
0x0054;DOTB_ACQ_LR;pclk;reset_n;;;;[31:31];1'd0;RO;;;;
;;;;;;reg_lr_acq_rake_th;[30:22];9'd73;R/W;;;;
;;;;;;reg_lr_acq_sum_th;[21:10];12'd2327;R/W;;;;
;;;;;;reg_lr_acq_sym_num_th;[9:5];5'd10;R/W;;;;
;;;;;;reg_lr_acq_syms;[4:0];5'd16;R/W;;;;
0x0058;DOTB_CFO;pclk;reset_n;;;;[31:30];2'd0;RO;;;;
;;;;;;reg_acq_sym_th;[29:25];5'd0;R/W;;;;
;;;;;;reg_lr_acq_sym_th;[24:20];5'd10;R/W;;;;
;;;;;;reg_lr_acq_high_rssi_th;[19:8];12'd4095;R/W;;;;
;;;;;;reg_lr_mother_code;[7:0];8'd17;R/W;;;;
0x005C;DOTB_RAKE_SYM;pclk;reset_n;;;;[31:27];5'd0;RO;;;;
;;;;;;reg_11b_acq_high_rssi_th;[26:15];12'd4095;R/W;;;;
;;;;;;reg_rake_path_power_diff_th;[14:10];5'd16;R/W;;;;
;;;;;;reg_rake_calculate_path_syms;[9:5];5'd15;R/W;;;;
;;;;;;reg_rake_tracking_stable_syms;[4:0];5'd25;R/W;;;;
0x0060;DOTB_RAKE_FIR;pclk;reset_n;;;;[31:25];7'd0;RO;;;;
;;;;;;reg_rake_two_path_attenuate_squ;[24:19];6'd36;R/W;;;;
;;;;;;reg_rake_two_path_attenuate;[18:13];6'd48;R/W;;;;
;;;;;;reg_rake_two_path_power_higher_th;[12:6];7'd96;R/W;;;;
;;;;;;reg_rake_two_path_power_lower_th;[5:0];6'd48;R/W;;;;
0x0064;DOTB_SNR;pclk;reset_n;;;reg_acq_maxpeak_thres;[31:26];6'd44;R/W;;;;
;;;;;;reg_lr_acq_maxpeak_thres;[25:20];6'd14;R/W;;;;
;;;;;;reg_rake_bypass;[19:19];1'b0;R/W;;;;
;;;;;;reg_rake_close_pow_th;[18:12];7'd96;R/W;;;;
;;;;;;reg_snr_est_max_sym_num;[11:5];7'd100;R/W;;;;
;;;;;;reg_snr_est_skip_sym_num;[4:0];5'd30;R/W;;;;
0x0068;DOTB_MIDFREQ_FAC;pclk;reset_n;;;;[31:25];7'd0;RO;;;;
;;;;;;reg_lr_snr_cg_bypass;[24:24];1'b0;R/W;;;;~
;;;;;;reg_lr_rake_cg_bypass;[23:23];1'b0;R/W;;;;~
;;;;;;reg_lr_acq_rake_cg_bypass;[22:22];1'b0;R/W;;;;~
;;;;;;reg_lr_cfo_rake_cg_bypass;[21:21];1'b0;R/W;;;;~
;;;;;;reg_lr_cfo_cg_bypass;[20:20];1'b0;R/W;;;;~
;;;;;;reg_le_debark_cg_bypass;[19:19];1'b0;R/W;;;;~
;;;;;;reg_le_snr_cg_bypass;[18:18];1'b0;R/W;;;;~
;;;;;;reg_le_rake_cg_bypass;[17:17];1'b0;R/W;;;;~
;;;;;;reg_le_acq_rake_cg_bypass;[16:16];1'b0;R/W;;;;~
;;;;;;reg_le_cfo_rake_cg_bypass;[15:15];1'b0;R/W;;;;~
;;;;;;reg_le_cfo_cg_bypass;[14:14];1'b0;R/W;;;;~
;;;;;;reg_cfo_fcw_factor;[13:0];14'd4096;R/W;;;;(mid_freq/(mid_freq+pri20_pos*10))*2^12
0x006C;DOTB_HIGH_THR;pclk;reset_n;;;reg_acq_rake_hard_th;[31:24];8'd4;R/W;;;;
;;;;;;reg_acq_sum_th_high;[23:10];14'd4655;R/W;;;;
;;;;;;reg_acq_rake_th_high;[9:0];10'd634;R/W;;;;
0x0070;DOTB_HIGH_THR_LR;pclk;reset_n;;;reg_lr_acq_rake_hard_th;[31:24];8'd4;R/W;;;;
;;;;;;reg_lr_acq_sum_th_high;[23:10];14'd11636;R/W;;;;
;;;;;;reg_lr_acq_rake_th_high;[9:0];10'd145;R/W;;;;
0x0074;DOTB_LR_DEMOD;pclk;reset_n;;;;[31:15];17'd0;RO;;;;
;;;;;;reg_sfd_hard_th;[14:10];5'd25;R/W;;;;
;;;;;;reg_sfd_soft_th;[9:5];5'd20;R/W;;;;
;;;;;;reg_max_iter;[4:0];5'd15;R/W;;;;
0x0078;DOTB_LR2LE_CTRL;pclk;reset_n;;;;[31:14];18'd0;RO;;;;
;;;;;;reg_lr_11b_lr2le_acq_en;[13:12];2'd0;R/W;;;;
;;;;;;;[11:9];3'd0;RO;;;;
;;;;;;reg_lr_11b_lr2le_rssi_thr;[8:0];9'h140;R/W;;;;
0x007C;DOTB_RX_DFX_CTRL;pclk;reset_n;;;;[31:29];3'd0;RO;;;;
;;;;;;reg_rx11b_dump_trig_1sel;[28:24];5'd25;R/W;;;;~
;;;;;;;[23:21];3'd0;RO;;;;
;;;;;;reg_rx11b_dump_trig_0sel;[20:16];5'd7;R/W;;;;~
;;;;;;;[15:9];7'd0;RO;;;;
;;;;;;reg_rx11b_dump_done_sel;[8:4];5'd31;R/W;;;;~
;;;;;;;[3:2];2'd0;RO;;;;
;;;;;;reg_dfx_rpt_11b_clr;[1:0];2'd0;R/W;;;;~
0x0080;DOTB_DFX_0RPT;pclk;reset_n;;;reg_11b_dfx_rpt_0cnt;[31:0];32'd0;RO;;;;~
0x0084;DOTB_DFX_1RPT;pclk;reset_n;;;reg_11b_dfx_rpt_1cnt;[31:0];32'd0;RO;;;;~
0x0088;DOTB_DFX_2RPT;pclk;reset_n;;;reg_11b_dfx_rpt_2cnt;[31:0];32'd0;RO;;;;~
0x008C;DOTB_DFX_3RPT;pclk;reset_n;;;reg_11b_dfx_rpt_3cnt;[31:0];32'd0;RO;;;;~
0x0090;DOTB_DFX_4RPT;pclk;reset_n;;;reg_11b_dfx_rpt_4cnt;[31:0];32'd0;RO;;;;~
0x0094;DOTB_DFX_5RPT;pclk;reset_n;;;reg_11b_dfx_rpt_5cnt;[31:0];32'd0;RO;;;;~
0x0098;DOTB_DFX_6RPT;pclk;reset_n;;;reg_11b_dfx_rpt_6cnt;[31:0];32'd0;RO;;;;~
0x009C;DOTB_DFX_7RPT;pclk;reset_n;;;reg_11b_dfx_rpt_7cnt;[31:0];32'd0;RO;;;;~
0x00A0;DOTB_DFX_8RPT;pclk;reset_n;;;reg_11b_dfx_rpt_8cnt;[31:0];32'd0;RO;;;;~
0x00A4;DOTB_DFX_9RPT;pclk;reset_n;;;reg_11b_dfx_rpt_9cnt;[31:0];32'd0;RO;;;;~
0x00A8;DOTB_DFX_10RPT;pclk;reset_n;;;reg_11b_dfx_rpt_10cnt;[31:0];32'd0;RO;;;;~
0x00AC;DOTB_DFX_11RPT;pclk;reset_n;;;reg_11b_dfx_rpt_11cnt;[31:0];32'd0;RO;;;;~
0x00B0;DOTB_DFX_12RPT;pclk;reset_n;;;reg_11b_dfx_rpt_12cnt;[31:0];32'd0;RO;;;;~
0x00B4;DOTB_DFX_13RPT;pclk;reset_n;;;reg_11b_dfx_rpt_13cnt;[31:0];32'd0;RO;;;;~
0x00B8;DOTB_DFX_14RPT;pclk;reset_n;;;reg_11b_dfx_rpt_14cnt;[31:0];32'd0;RO;;;;~
0x00BC;DATE;pclk;reset_n;;;;[31:28];4'b0;RO;;;;
;;;;Not;;reg_date;[27:0];28'h2506100;R/W;;;;~
