Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_fir_pow_unlk_upth_atltf_det_flag;[15:8];8'h28;R/W;;;;
;;;;;;reg_fir_pow_unlk_lowth_atltf_det_flag;[7:0];8'hd8;R/W;;;;
0x0070;AGC_FIR_POW_JUMP0;pclk;reset_n;;;reg_fir_jump_unlk_upth_atb4stf_det_flag;[31:24];8'h64;R/W;;;;
;;;;;;reg_fir_jump_unlk_lowth_atb4stf_det_flag;[23:16];8'h9c;R/W;;;;
;;;;;;reg_fir_jump_unlk_upth_atb4stf_det2_flag;[15:8];8'h64;R/W;;;;
;;;;;;reg_fir_jump_unlk_lowth_atb4stf_det2_flag;[7:0];8'h9c;R/W;;;;
0x0074;AGC_FIR_POW_JUMP1;pclk;reset_n;;;reg_fir_jump_unlk_upth_atstf_det_flag;[31:24];8'h64;R/W;;;;
;;;;;;reg_fir_jump_unlk_lowth_atstf_det_flag;[23:16];8'h9c;R/W;;;;
;;;;;;reg_fir_jump_unlk_upth_atltf_det_flag;[15:8];8'h64;R/W;;;;
;;;;;;reg_fir_jump_unlk_lowth_atltf_det_flag;[7:0];8'h9c;R/W;;;;
0x0078;AGC_PEAK_DET;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_peak_peak_det_comp_0ch;[30:21];10'd0;R/W;;;;
;;;;;;reg_peak_peak_det_coef;[20:11];10'd128;R/W;;;;
;;;;;;reg_peak_peak_det_offset;[10:0];11'd0;R/W;;;;
0x007C;AGC_CONF25;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_peak_unreliable_val;[29:24];6'h6;R/W;;;;
;;;;;;reg_fir_jump_cnt;[23:22];2'h0;R/W;;;;~
;;;;;;reg_fir_pow_ref;[21];1'h1;R/W;;;;~
;;;;;;reg_sat_skip_fine;[20];1'h0;R/W;;;;~
;;;;;;reg_cond_fir_jump_en;[19];1'h0;R/W;;;;~
;;;;;;reg_tracking_2_coarse_en;[18];1'h0;R/W;;;;~
;;;;;;reg_agc_fir_tran_win_cnt;[17:13];5'h2;R/W;;;;
;;;;;;reg_firpow_replace_adc_pow;[12];1'h1;R/W;;;;
;;;;;;reg_noise_ext_lna_code;[11];1'h1;R/W;;;;
;;;;;;reg_noise_int_lna_code;[10:8];3'h7;R/W;;;;
;;;;;;reg_noise_vga_code;[7:2];6'h19;R/W;;;;
;;;;;;reg_peak_det_used;[1];1'h0;R/W;;;;
;;;;;;reg_agc_frz_afltf;[0];1'h0;R/W;;;;
0x0080;AGC_CONF26;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_agc_fir_used;[27];1'h1;R/W;;;;
;;;;;;reg_min_vga_gain_pdet;[26:21];6'h4;R/W;;;;
;;;;;;reg_max_vga_gain_pdet;[20:15];6'h14;R/W;;;;
;;;;;;reg_default_vga_gain_pdet;[14:10];5'h2;R/W;;;;
;;;;;;reg_aci_scenario_en;[9];1'h0;R/W;;;;
;;;;;;reg_aci_scenario_pow;[8:0];9'h18;R/W;;;;~
0x0084;AGC_CONF27;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_sau_val_b4ltf_th_pdet;[29:20];10'd666;R/W;;;;
;;;;;;reg_sau_num_b4ltf_th_pdet;[19:15];5'h3;R/W;;;;
;;;;;;reg_sau_val_atltf_th_pdet;[14:5];10'd666;R/W;;;;
;;;;;;reg_sau_num_atltf_th_pdet;[4:0];5'h3;R/W;;;;
0x0088;AGC_CONF29;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_peak_pow_bigger;[29:20];10'd10;R/W;;;;
;;;;;;reg_vld_vga_code_min_0c;[19:15];5'h0;R/W;;;;
;;;;;;reg_vld_vga_code_min_1c;[14:10];5'h3;R/W;;;;
;;;;;;reg_vld_vga_code_min_2c;[9:5];5'h3;R/W;;;;
;;;;;;reg_vld_vga_code_min_3c;[4:0];5'h3;R/W;;;;
0x008C;AGC_CONF30;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_peak_peak_det_comp_1ch;[29:20];10'd0;R/W;;;;
;;;;;;reg_vld_vga_code_min_4c;[19:15];5'h3;R/W;;;;
;;;;;;reg_vld_vga_code_min_5c;[14:10];5'h3;R/W;;;;
;;;;;;reg_vld_vga_code_min_6c;[9:5];5'h3;R/W;;;;
;;;;;;reg_vld_vga_code_min_7c;[4:0];5'h0;R/W;;;;
0x0090;AGC_CONF31;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_vld_vga_code_range_7c;[29:24];6'd26;R/W;;;;
;;;;;;reg_vld_vga_code_range_0c;[23:18];6'd13;R/W;;;;
;;;;;;reg_vld_vga_code_range_1c;[17:12];6'd10;R/W;;;;
;;;;;;reg_vld_vga_code_range_2c;[11:6];6'd10;R/W;;;;
;;;;;;reg_vld_vga_code_range_3c;[5:0];6'd13;R/W;;;;
0x0094;AGC_CONF32;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_pin_trk_unlock_smallvga_th;[30:25];6'd23;R/W;;;;
;;;;;;reg_diff_b4_lna;[24];1'h0;R/W;;;;
;;;;;;reg_diff_b4_adc;[23];1'h0;R/W;;;;
;;;;;;reg_diff_tg_adc;[22];1'h0;R/W;;;;
;;;;;;reg_diff_fir;[21];1'h0;R/W;;;;
;;;;;;reg_diff_fir_last;[20];1'h0;R/W;;;;
;;;;;;reg_vld_vga_code_range_4c;[19:14];6'd13;R/W;;;;
;;;;;;reg_vld_vga_code_range_5c;[13:8];6'd19;R/W;;;;
;;;;;;reg_vld_vga_code_range_6c;[7:2];6'd23;R/W;;;;
;;;;;;reg_htstf_agc_en;[1];1'h1;R/W;;;;
;;;;;;reg_agc_frame_dc_en;[0];1'h1;R/W;;;;
0x0098;AGC_CONF33;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_tran_time_dfs;[26:18];9'd20;R/W;;;;
;;;;;;reg_high_gain_idx_dfs;[17:9];9'd207;R/W;;;;
;;;;;;reg_low_gain_idx_dfs;[8:0];9'd77;R/W;;;;
0x009C;AGC_CONF34;pclk;reset_n;;;;[31:26];6'h0;RO;;;;
;;;;;;reg_cca_ant_chg_th;[25:18];8'd3;R/W;;;;~
;;;;;;reg_tran_time_cca_bitmap;[17:9];9'd20;R/W;;;;
;;;;;;reg_gain_idx_cca_bitmap;[8:0];9'd234;R/W;;;;~
0x00A0;AGC_CONF35;pclk;reset_n;;;reg_noise_floor;[31:24];8'h88;R/W;;;;
;;;;;;reg_cca_rx_switch_powdiff;[23:16];8'd10;R/W;;;;
;;;;;;reg_cca_en_pow_b41na;[15:8];8'd136;R/W;;;;
