Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_tx_iccfr_th;[23:12] ;12'h0;R/W;;;;~
;;;;;;reg_tx_hccfr_th;[11:0] ;12'h0;R/W;;;;~
0x006C;TX_DIGANA_CFG2;pclk;reset_n;;;reg_tx_digana_set_addr_vld;[31];1'b0;R/W;;;;~
;;;;;;reg_tx_digana_set_en;[30] ;1'h0;R/W;;;;~
;;;;;;reg_tx_digana_set_addr;[29:23] ;7'h0;R/W;;;;~
;;;;;;reg_tx_mixbuf_gain;[22:19] ;4'h0;R/W;;;;~
;;;;;;reg_tx_ppa_gain;[18:12] ;7'h0;R/W;;;;~
;;;;;;reg_tx_pa_gain;[11:9] ;3'h0;R/W;;;;~
;;;;;;reg_tx_atten_gain_set;[8:7];2'd0;R/W;;;;~
;;;;;;reg_tx_lpf_gain_set;[6:5] ;2'd0;R/W;;;;~
;;;;;;reg_tx_hccfr_en_set;[4];1'd0;R/W;;;;~
;;;;;;reg_tx_iccfr_en_set;[3];1'd0;R/W;;;;~
;;;;;;reg_tx_dig_t4xth;[2:0] ;3'h0;R/W;;;;~
0x0070;NORM_CFG1;pclk;reset_n;;;;[31:30];2'b0;RO;;;;~
;;;;;;reg_tx_pwr_force_ch0;[29:24];6'b0;R/W;;;;~
;;;;;;reg_tx_pwr_force_en_ch0;[23];1'b0;R/W;;;;~
;;;;;;reg_tx_sco_ppm_force;[22:7];16'b0;R/W;;;;~
;;;;;;reg_tx_sco_ppm_force_en;[6];1'b0;R/W;;;;~
;;;;;;reg_tx_pwr_offset_ch0;[5:0];6'd22;R/W;;;;
0x0074;NORM_CFG2;pclk;reset_n;;;;[31:30];2'b0;RO;;;;~
;;;;;;reg_tx_freqshift_ppm_inv;[29];1'b1;R/W;;;;
;;;;;;reg_tx_freqshift_ppm_force;[28:13];16'b0;R/W;;;;~
;;;;;;reg_tx_freqshift_ppm_force_en;[12];1'b0;R/W;;;;~
;;;;;;reg_tx_sco_u_force;[11:1];11'b0;R/W;;;;~
;;;;;;reg_tx_sco_u_force_en;[0];1'b0;R/W;;;;~
0x0078;TXTDM_CFG0;pclk;reset_n;;;;[31:29]3'b0;RO;;;;
;;;;;;reg_txdfe_insert_postzeros;[28:23];6'd30;R/W;;;;~
;;;;;;reg_txwin_end_wait_delay;[22:13];10'd40;R/W;;;;~
;;;;;;reg_txwin_ena;[12];1'd1;R/W;;;;
;;;;;;reg_txwin_bw20_mode;[11:10];2'd1;R/W;;;;~
;;;;;;reg_txend_wait_delay;[9:0];10'd30;R/W;;;;~
0x007C;TXTDM_CFG1;pclk;reset_n;;;reg_tx_hccfr_force_ch1;[31];1'b0;R/W;;;;~
;;;;;;reg_tx_iccfr_force_ch1;[30];1'b0;R/W;;;;~
;;;;;;reg_tx_iccfr_both_force_ch1;[29];1'b0;R/W;;;;~
;;;;;;reg_tx_hccfr_force_ch0;[28];1'b0;R/W;;;;~
;;;;;;reg_tx_iccfr_force_ch0;[27];1'b0;R/W;;;;~
;;;;;;reg_tx_iccfr_both_force_ch0;[26];1'b0;R/W;;;;~
;;;;;;reg_tx_hc_thr2x_force_ch0;[25:14];12'b0;R/W;;;;~
;;;;;;reg_tx_hc_thr2x_force_en_ch0;[13];1'b0;R/W;;;;~
;;;;;;reg_tx_ic_thr2x_force_ch0;[12:1];12'b0;R/W;;;;~
;;;;;;reg_tx_ic_thr2x_force_en_ch0;[0];1'b0;R/W;;;;~
