Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_nonhe_hltf_smooth_en;[1];1'd1;R/W;;;;
;;;;;;reg_he_hltf_smooth_en   ;[0];1'd1;R/W;;;;
0x005C;RXCTRLFD_CONF9;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_stbc_ant_disable_bypass;[23];1'd0;R/W;;;;~
;;;;;;reg_last_sym_gicomb_bypass;[22];1'd1;R/W;;;;~
;;;;;;reg_eht_su_staid_match_bypass;[21];1'd0;R/W;;;;~
;;;;;;reg_eht_det_corr_thre;[20:15];6'd39;R/W;;;;~
;;;;;;reg_eht_en;[14];1'd1;R/W;;;;~
;;;;;;reg_ht_sounding_det_en;[13];1'd1;R/W;;;;~
;;;;;;reg_clk_preamble_cg_bypass;[12];1'd0;R/W;;;;~
;;;;;;reg_ant_broken_det_en     ;[11];1'd1;R/W;;;;~
;;;;;;reg_pwr_sav_det_en        ;[10];1'd1;R/W;;;;~
;;;;;;reg_ant_snrdiff_thre      ;[9:5];5'd20;R/W;;;;
;;;;;;reg_ant_snr_low_thre      ;[4:0];5'd24;R/W;;;;
0x0060;RXCTRLFD_CONF10;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_ant_disable_mcs12_thre;[29:24];6'd40 ;R/W;;;;~
;;;;;;reg_ant_disable_mcs0_thre;[23:18];6'd7 ;R/W;;;;
;;;;;;reg_ant_disable_mcs1_thre;[17:12];6'd10;R/W;;;;
;;;;;;reg_ant_disable_mcs2_thre;[11:6];6'd13;R/W;;;;
;;;;;;reg_ant_disable_mcs3_thre;[5:0];6'd17;R/W;;;;
0x0064;RXCTRLFD_CONF11;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_ant_disable_mcs13_thre;[29:24];6'd43;R/W;;;;~
;;;;;;reg_ant_disable_mcs4_thre;[23:18];6'd20;R/W;;;;
;;;;;;reg_ant_disable_mcs5_thre;[17:12];6'd24;R/W;;;;
;;;;;;reg_ant_disable_mcs6_thre;[11:6];6'd26;R/W;;;;
;;;;;;reg_ant_disable_mcs7_thre;[5:0];6'd28;R/W;;;;
0x0068;RXCTRLFD_CONF12;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_ant_disable_mcs8_thre ;[23:18];6'd31;R/W;;;;
;;;;;;reg_ant_disable_mcs9_thre ;[17:12];6'd32;R/W;;;;
;;;;;;reg_ant_disable_mcs10_thre;[11:6];6'd36;R/W;;;;
;;;;;;reg_ant_disable_mcs11_thre;[5:0];6'd37;R/W;;;;
0x006C;RXCTRLFD_CONF13;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_lowsnr_abort_mcs12_thre;[29:24];6'd20;R/W;;;;~
;;;;;;reg_lowsnr_abort_mcs0_thre;[23:18];6'd54;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs1_thre;[17:12];6'd58;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs2_thre;[11:6];6'd0 ;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs3_thre;[5:0];6'd2 ;R/W;;;;
